join_key,lib_mrq_doss,dscom,cnit,co2_mixte,conso_mixte,nox,co_typ_1,ptcl,TAN,e (g/km),w (mm),at1 (mm),at2 (mm),r
ALFA_OTHER_88_1200,ALFA ROMEO ,MITO 1.4 GPL Turbo (120ch) S/S ,M10ALFVP000P445 ,145.0,6.2,0.018,0.574,,e3*2001/116*0278*18,129.0,2511.0,1477.0,1475.0,3
DACIA_OTHER_60_1300,DACIA ,DOKKER 10 ans 1.6 MPI (85ch) GPL ,M10DACVP000Y757 ,165.0,7.2,0.016,0.683,,e2*2001/116*0314*77,144.0,2810.0,1492.0,1478.0,34
DACIA_OTHER_77_1300,DACIA ,DUSTER 10 ans 1.6 16V (105ch) GPL 4x2 ,M10DACVP0008731 ,165.0,7.2,0.039,0.373,,e2*2001/116*0314*77,145.0,2673.0,1560.0,1567.0,57
DACIA_OTHER_60_1250,DACIA ,LODGY 10 ans 1.6 MPI (85ch) GPL 5PL ,M10DACVP000F774 ,155.0,6.7,0.015,0.504,,e2*2001/116*0314*77,139.0,2810.0,1492.0,1478.0,26
DACIA_OTHER_55_1050,DACIA ,LOGAN 1.2 16V (75ch) ,M10DACVP000S654 ,135.0,5.8,0.015,0.213,,e2*2001/116*0314*77,120.0,2589.0,1497.0,1486.0,35
FIAT_OTHER_51_950,FIAT ,500 1.2 (69ch) ,M10FATVP0018747 ,119.0,5.1,0.014,0.277,,e3*2007/46*0064*25,104.0,2300.0,1413.0,1407.0,1
FIAT_OTHER_88_1400,FIAT ,BRAVO 1.6 MultiJet (120ch) Dualogic Euro 5 ,M10FATVP000X313 ,120.0,4.6,0.169,0.339,0.002,e3*2001/116*0217*45,140.0,2612.0,1522.0,1519.0,4
FIAT_OTHER_88_1600,FIAT ,DOBLO 1.4 T-Jet (120ch) GNV ,M10FATVP001J854 ,173.0,7.4,0.014,0.627,,e3*2007/46*0007*18,134.0,2755.0,1510.0,1530.0,8
FIAT_OTHER_51_1350,FIAT ,QUBO 1.4 8V (70ch) GNV ,M10FATVP0012159 ,114.0,6.4,0.031,0.347,,e3*2001/116*0271*17,119.0,2513.0,1462.0,1464.0,2
FIAT_OTHER_51_1050,FIAT ,PANDA 4x4 1.2 (69ch) ,M10FATVP0000934 ,139.0,6.0,0.026,0.249,,e3*2007/46*0064*20,106.0,2300.0,1409.0,1407.0,4
FIAT_OTHER_59_1150,FIAT ,PANDA III 0.9 TwinAir Turbo GNV (80ch) ,M10FATVP0264851 ,86.0,4.8,0.031,0.258,,e3*2007/46*0064*20,85.0,2300.0,1414.0,1408.0,24
FIAT_OTHER_57_1250,FIAT ,PUNTO 1.4 GNV (70ch) ,M10FATVP0008360 ,149.0,6.3,0.037,0.273,,e3*2001/116*0217*47,115.0,2510.0,1467.0,1460.0,9
FIAT_OTHER_51_1250,FIAT ,PUNTO 1.4 GNV (70ch) ,M10FATVP0008360 ,115.0,6.4,0.029,0.414,,e3*2001/116*0217*44,115.0,2510.0,1467.0,1460.0,21
JEEP_OTHER_210_2250,JEEP ,GRAND CHEROKEE (2014) 3.6 l V6 PENTASTAR FLEXFUEL BVA8 ,M10JEPVP0005511 ,225.0,13.8,0.021,0.633,,e4*2007/46*0186*14,244.0,2915.0,1628.0,1634.0,33
LADA_OTHER_61_1350,LADA ,LADA 4x4 ,M10LADVP000A045 ,216.0,9.5,0.023,0.535,,e2*KS07/46*0013*00,179.0,2200.0,1440.0,1420.0,1
MERCEDES_OTHER_115_1500,MERCEDES BENZ ,B 200 Natural Gas Drive BVM6 ,M10MCDVPFL6R128 ,117.0,6.6,0.022,0.099,,e1*2001/116*0470*12,117.0,2699.0,1536.0,1542.0,1
OPEL_OTHER_88_1500,OPEL ,ASTRA GTC 1.4 Turbo (120ch) Start/Stop BVM6 ,M10PELVP274M712 ,139.0,5.9,0.022,0.587,,e4*2007/46*0165*11,121.0,2644.0,1488.0,1509.0,5
OPEL_OTHER_103_1450,OPEL ,ASTRA GTC 1.4 Turbo (140ch) Start/Stop BVM6 ,M10PELVP2748734 ,139.0,5.9,0.022,0.587,,e4*2007/46*0537*05,124.0,2555.0,1540.0,,19
OPEL_OTHER_103_1750,OPEL ,CASCADA 1.4 Turbo Start/Stop BVM6 ,M10PELVP344M096 ,149.0,6.4,0.014,0.581,,e4*2007/46*0204*20,139.0,2760.0,1577.0,,1
OPEL_OTHER_66_1200,OPEL ,CORSA 3P 1.4 (90ch) BVA6 ,M10PELVP310F439 ,140.0,6.0,0.012,0.55,,e1*2001/116*0379*32,114.0,2510.0,1472.0,1464.0,3
OPEL_OTHER_66_1250,OPEL ,CORSA 3P 1.4 (90ch) BVA6 ,M10PELVP310L445 ,140.0,6.0,0.012,0.55,,e1*2001/116*0379*32,114.0,2510.0,1472.0,1464.0,4
OPEL_OTHER_66_1300,OPEL ,CORSA 5P 1.4 (90ch) BVA6 ,M10PELVP312J017 ,140.0,6.0,0.012,0.55,,e1*2001/116*0379*33,114.0,2510.0,1472.0,1464.0,1
RENAULT_OTHER_54_1100,RENAULT ,CLIO 1.2 16V (75ch) GPL ,M10RENVP308B918 ,128.0,5.6,0.034,0.256,,e2*2001/116*0327*70,128.0,2589.0,1509.0,1513.0,3
